id	title	tags	category	file
ls-K9AuOI2A	My 4 Step Retrospective	retrospective,facilitation,scrum,agile-coaching,achievement-posters,starfish,retro-wheel	Retro Format	videos/carsten-lutzen/CL_001_my-4-step-retrospective.md
LnL4tXonsw8	Why do retrospectives feel like a waste of time?	retrospective,facilitation,format-fatigue,15-percent-solutions,solution-focused,liberating-structures,1-2-4-all	Facilitator Craft	videos/carsten-lutzen/CL_002_why-do-retrospectives-feel-like-a-waste-of-time.md
gBK6ueOqv3s	Talking Behind Peoples Back...	energizer,positive-gossip,talking-behind-peoples-back,feed-forward,alignment,expectation-setting,appreciation	Facilitation Method	videos/carsten-lutzen/CL_003_talking-behind-peoples-back.md
UOIKi5tC9Wg	\"Meeting Reset\" with Carsten Lützen	meeting-reset,check-in,facilitation,timeboxing,alignment,round-robin,workshop-design		videos/carsten-lutzen/CL_004_meeting-reset-with-carsten-lützen.md
U8ijE34YVsw	Why do people stay silent in meetings, even when they disagree?	bystander-effect,diffusion-of-responsibility,silence,meeting-facilitation,group-dynamics,psychological-safety,1-2-4-all		videos/carsten-lutzen/CL_005_why-do-people-stay-silent-in-meetings-even-when-they-disagre.md
spAazxYIHMI	\"Sentiment Mapping\" as a group	sentiment-mapping,retrospective,after-action-review,timeline,1-2-4-all,facilitation,agile-coaching		videos/carsten-lutzen/CL_006_sentiment-mapping-as-a-group.md
P_yJ3iagU0c	Stealing Ideas from the Shower	shower-thoughts,creative-problem-solving,diffuse-thinking,knowledge-work,walking,running,slack-time		videos/carsten-lutzen/CL_007_stealing-ideas-from-the-shower.md
gYXGGEWIFSs	Best Hopes for Our Family - Part 3	goal-setting,family,sticky-notes,okrs,personal-agile,visual-management,clustering		videos/carsten-lutzen/CL_008_best-hopes-for-our-family-part-3-with-carsten-lützen.md
iY60kh44x3w	\"My Intervention Checklist\" with Carsten Lützen	intervention,facilitation,coaching,ownership,silence,ego,group-dynamics		videos/carsten-lutzen/CL_009_my-intervention-checklist-with-carsten-lützen.md
H2Rvk5UVRT8	\"ELMO\" with Carsten Lützen	elmo,enough-lets-move-on,facilitation,meeting-management,session-rules,parking-lot,best-hopes		videos/carsten-lutzen/CL_010_elmo-with-carsten-lützen.md
94FCMrsxwH8	COIN" with Carsten Lützen	coin-model,feedback,constructive-feedback,observation,impact,context,next-steps		videos/carsten-lutzen/CL_011_coin-with-carsten-lützen.md
Cl8LlfoZWPc	\"Merry Christmas\" with Carsten Lützen	holiday,community,reflection,year-in-review,experimentation,feedback-loop		videos/carsten-lutzen/CL_012_merry-christmas-with-carsten-lützen.md
WBlrlM9pUrI	\"The Spotlight Effect\" with Carsten Lützen	spotlight-effect,cognitive-bias,psychological-safety,facilitation,nervousness,1-2-4-all,liberating-structures		videos/carsten-lutzen/CL_013_the-spotlight-effect-with-carsten-lützen.md
8r7gKlFpYXA	\"Santa's Nice List\" with Carsten Lützen	santas-nice-list,retrospective,team-celebration,year-end,1-2-4-all,appreciations,solution-focused	Retro Format	videos/carsten-lutzen/CL_025_santas-nice-list-with-carsten-lützen.md
RKaCYr5qM64	\"Faces & Emotions\" with Carsten Lützen	visual-facilitation,drawing,faces,emotions,sketching,matrix-method,visual-thinking	Facilitator Craft	videos/carsten-lutzen/CL_026_faces-emotions-with-carsten-lützen.md
NMScN6zQFlA	My Kit - Facilitation Box" with Carsten Lützen	facilitation-kit,workshop-materials,sticky-notes,dot-voting,flip-chart,painters-tape,props	Facilitator Craft	videos/carsten-lutzen/CL_027_my-kit-facilitation-box-with-carsten-lützen.md
Wt1X7XhkX8Q	Folding Spectogram" with Carsten Lützen	folding-spectrogram,spectrogram,energizer,liberating-structures,workshop-design,facilitation,impromptu-networking	Facilitation Method	videos/carsten-lutzen/CL_028_folding-spectogram-with-carsten-lützen.md
MKt4LVksJlY	\"7 Year Anniversary\" with Carsten Lützen	anniversary,reflection,content-creation,youtube,linkedin,metrics,learning	Personal	videos/carsten-lutzen/CL_029_7-year-anniversary-with-carsten-lützen.md
GrpunaqukzA	Negative Capability: The Hardest Facilitation Skill	negative-capability,facilitation,silence,ambiguity,holding-space,intervention,liberating-structures	Facilitator Craft	videos/carsten-lutzen/CL_030_negative-capability-the-hardest-facilitation-skill.md
N05Cg3m4qJY	\"Christmas Tree\" with Carsten Lützen	christmas-tree,retrospective,end-of-year,team-celebration,sticky-notes,energizer,appreciation	Retro Format	videos/carsten-lutzen/CL_031_christmas-tree-with-carsten-lützen.md
FUxVD7_0ASM	\"Alone or Left out?\" with Carsten Lützen	exclusion,inclusion,solitude,psychological-safety,group-formation,icebreakers,silence	Concept	videos/carsten-lutzen/CL_032_alone-or-left-out-with-carsten-lützen.md
j48hUBrrvgk	Personal Purpose" with Carsten Lützen	personal-purpose,purpose,ikigai,liberating-structures,coaching,burnout,prioritization	Facilitation Method	videos/carsten-lutzen/CL_033_personal-purpose-with-carsten-lützen.md
RIfgv58jo7k	\"The Observer Effect\" with Carsten Lützen	observer-effect,facilitation,coaching,presence,positioning,performative-behavior,self-observation	Concept	videos/carsten-lutzen/CL_034_the-observer-effect-with-carsten-lützen.md
f0dlWSyFW2I	\"To be, or not to be... Coachable\" with Carsten Lützen	coachability,coaching,feedback,self-reflection,growth-mindset,agile-coaching,experimentation	Coaching Technique	videos/carsten-lutzen/CL_035_to-be-or-not-to-be-coachable-with-carsten-lützen.md
VZdFL0F0GaM	No Prep, No Problem" with Carsten Lützen	liberating-structures,no-prep,facilitation,1-2-4-all,impromptu-networking,what-so-what-now-what,triz	Facilitator Craft	videos/carsten-lutzen/CL_036_no-prep-no-problem-with-carsten-lützen.md
UAiMh-IRrXQ	\"Done Work Jar\" with Carsten Lützen	done-work-jar,transparency,work-visualization,gamification,team-ritual,throughput,velocity	Agile & Product	videos/carsten-lutzen/CL_037_done-work-jar-with-carsten-lützen.md
CvYUv0UTlE8	\"Special Day\" with Carsten Lützen	personal-milestone,agile-coaching,scrum-master,career-journey,lego-group,professional-coach,reflection	Personal	videos/carsten-lutzen/CL_038_special-day-with-carsten-lützen.md
0KzkllGuKpQ	\"Stress\" with Carsten Lützen	stress,self-awareness,symptoms,root-cause,nine-whys,psychological-safety,coaching	Concept	videos/carsten-lutzen/CL_039_stress-with-carsten-lützen.md
CBjSFwqHpwQ	\"Change vs Transformation\" with Carsten Lützen	change,transformation,change-management,organizational-change,scrum-master,agile-coaching,product-organization	Concept	videos/carsten-lutzen/CL_040_change-vs-transformation-with-carsten-lützen.md
Wtslyxr9Hxw	Backlog Perspectives" with Carsten Lützen	personal-kanban,ecocycle-planning,liberating-structures,backlog-management,prioritization,self-organization,focus	Facilitation Method	videos/carsten-lutzen/CL_041_backlog-perspectives-with-carsten-lützen.md
r_hM1bNeJIs	\"Credibility as a Facilitator\" with Carsten Lützen	facilitator-credibility,facilitation,body-language,neutrality,trust,competence,energizers	Facilitator Craft	videos/carsten-lutzen/CL_042_credibility-as-a-facilitator-with-carsten-lützen.md
y4wnVTlNiGc	\"If x was a language\" with Carsten Lützen	icebreaker,training-opener,self-assessment,skill-level,sticky-notes,best-hopes,agile-training	Facilitation Method	videos/carsten-lutzen/CL_043_if-x-was-a-language-with-carsten-lützen.md
ldWqoYiPYBg	\"The 90-9-1 Rule\" with Carsten Lützen	90-9-1-rule,participation,lurking,psychological-safety,hierarchy,cognitive-load,liberating-structures	Concept	videos/carsten-lutzen/CL_044_the-90-9-1-rule-with-carsten-lützen.md
rxhR64WzlmQ	\"Cognitive Load\" with Carsten Lützen	cognitive-load,facilitation,meeting-design,information-flow,async-prep,silence,chunking	Concept	videos/carsten-lutzen/CL_045_cognitive-load-with-carsten-lützen.md
sITAD8dg02c	\"Backchanneling\" with Carsten Lützen	backchanneling,active-listening,coaching,nonverbal-communication,paraphrasing,mirroring,reflective-questions	Facilitator Craft	videos/carsten-lutzen/CL_046_backchanneling-with-carsten-lützen.md
9tJeSBK6weU	Tip for KR validation" with Carsten Lützen	okr,key-results,validation,objectives,kr-validation,not-test,agile-coaching	Agile & Product	videos/carsten-lutzen/CL_047_tip-for-kr-validation-with-carsten-lützen.md
9rXeHiIUdXE	\"The IKEA Effect\" with Carsten Lützen	ikea-effect,cognitive-bias,co-creation,ownership,commitment,facilitation,workshop-design	Concept	videos/carsten-lutzen/CL_048_the-ikea-effect-with-carsten-lützen.md
hggouxu5NRQ	\"Safe-to-fail vs Fail-safe\" with Carsten Lützen	safe-to-fail,fail-safe,product-development,psychological-safety,learning-culture,incremental-development,agile-coaching	Concept	videos/carsten-lutzen/CL_049_safe-to-fail-vs-fail-safe-with-carsten-lützen.md
aWbZEhLfDbg	Three Intrinsic Motivators	intrinsic-motivation,dan-pink,drive,purpose,mastery,autonomy,team-dynamics	Concept	videos/carsten-lutzen/CL_050_three-intrinsic-motivators-with-carsten-lützen.md
zmr_r3Y_x4Q	Functional vs Non Functional Requirements	functional-requirements,non-functional-requirements,product-development,user-stories,acceptance-criteria,refinement,backlog	Agile & Product	videos/carsten-lutzen/CL_051_functional-vs-non-functional-requirements-with-carsten-lütze.md
LvLK66nYLEA	\"Altitude\" with Carsten Lützen	altitude,paper-plane,meeting-facilitation,conversation-levels,dot-voting,liberating-structures,one-two-four-all	Facilitation Method	videos/carsten-lutzen/CL_052_altitude-with-carsten-lützen.md
_nH6h0jkjx4	\"Empathy Map\" with Carsten Lützen	empathy-map,user-research,design-thinking,persona,stakeholder-understanding,canvas,workshop-tool	Facilitation Method	videos/carsten-lutzen/CL_053_empathy-map-with-carsten-lützen.md
TkXyvhBxAF8	Coat of Arms" with Carsten Lützen	coat-of-arms,icebreaker,team-introductions,getting-to-know-you,user-manual,psychological-safety,visual-facilitation	Facilitation Method	videos/carsten-lutzen/CL_054_coat-of-arms-with-carsten-lützen.md
ezIAdZzsDik	\"Best Hopes for Our Family - Part 2\" with Carsten Lützen	best-hopes,retrospective,goal-setting,family-facilitation,visual-management,follow-up,new-year-planning	Facilitation Method	videos/carsten-lutzen/CL_055_best-hopes-for-our-family-part-2-with-carsten-lützen.md
7Tp2sR0o_X4	\"Team Alliance\" with Carsten Lützen	team-alliance,workshop-opening,contracting,group-norms,solution-focus,1-2-4-all,liberating-structures	Facilitation Method	videos/carsten-lutzen/CL_056_team-alliance-with-carsten-lützen.md
fVUvZ9i0CvM	\"Boxing Day\" with Carsten Lützen	feedback,peer-feedback,retrospective,team-building,holiday,festive,continuous-feedback	Feedback	videos/carsten-lutzen/CL_057_boxing-day-with-carsten-lützen.md
trws_ZLWH3c	\"Worst Next Year\" with Carsten Lützen	worst-next-year,retrospective,year-end,goal-setting,liberating-structures,triz,facilitation	Retro Format	videos/carsten-lutzen/CL_058_worst-next-year-with-carsten-lützen.md
d-q9GrGG_PM	\"Two Percent Truth\" with Carsten Lützen	feedback,two-percent-truth,receiving-feedback,defensive-reactions,self-awareness,coaching,feedback-as-gift	Feedback	videos/carsten-lutzen/CL_059_two-percent-truth-with-carsten-lützen.md
kcRGitFXSyg	\"Impediment Bashing\" with Carsten Lützen	impediment-removal,kanban,visual-management,scrum-master,agile-coaching,transparency,team-support	Agile & Product	videos/carsten-lutzen/CL_060_impediment-bashing-with-carsten-lützen.md
j73NjBoTORY	My top 3 facilitation fails" with Carsten Lützen	facilitation-fails,liberating-structures,back-to-back-listening,law-of-two-feet,open-space,ego,alignment	Facilitator Craft	videos/carsten-lutzen/CL_061_my-top-3-facilitation-fails-with-carsten-lützen.md
KBzwo7QnxQw	\"We Predict\" with Carsten Lützen	we-predict,expectation-setting,engagement,1-2-4-all,liberating-structures,workshop-opening,predictions	Facilitation Method	videos/carsten-lutzen/CL_062_we-predict-with-carsten-lützen.md
VPDkRTLC6Lg	Attention Bias" with Carsten Lützen	attention-bias,inattentional-blindness,cognitive-bias,retrospective,facilitation,liberating-structures,psychological-safety	Concept	videos/carsten-lutzen/CL_063_attention-bias-with-carsten-lützen.md
xyvhSjVaa5c	\"Tiny Demons\" with Carsten Lützen	tiny-demons,liberating-structures,fears,anxieties,drawing,monsters,icebreaker	Facilitation Method	videos/carsten-lutzen/CL_064_tiny-demons-with-carsten-lützen.md
DF-33SdqLSU	Watermelon" with Carsten Lützen	watermelon,watermelon-reporting,watermelon-retrospective,metaphor,retrospective,status-reporting,project-reporting	Retro Format	videos/carsten-lutzen/CL_065_watermelon-with-carsten-lützen.md
tg1qbAlnjj4	\"Agreement & Certainty Matrix\" with Carsten Lützen	agreement-certainty-matrix,stacey-matrix,liberating-structures,sensemaking,complexity,retrospective,team-alignment	Concept	videos/carsten-lutzen/CL_066_agreement-certainty-matrix-with-carsten-lützen.md
XRxfHAsnU6w	\"Three Needs of a Group\" with Carsten Lützen	three-needs-of-a-group,facilitation,group-dynamics,process,content,relations,psychological-safety	Concept	videos/carsten-lutzen/CL_067_three-needs-of-a-group-with-carsten-lützen.md
WdOGvR3t4zc	\"Metaphors\" with Carsten Lützen	metaphors,facilitation,retrospective,clean-language,sailboat-retro,team-ownership,analogies	Facilitator Craft	videos/carsten-lutzen/CL_068_metaphors-with-carsten-lützen.md
86kKPGYTcLI	Clarification Canvas for Facilitation" with Carsten Lützen	clarification-canvas,facilitation-planning,workshop-design,sponsor-alignment,outcomes,facilitation-contract,pre-workshop	Facilitator Craft	videos/carsten-lutzen/CL_069_clarification-canvas-for-facilitation-with-carsten-lützen.md
lemL5csoB0A	\"I am..., but I am not ...\" with Carsten Lützen	energizer,icebreaker,inclusion,diversity,stereotypes,identity,psychological-safety	Energizer	videos/carsten-lutzen/CL_070_i-am-bit-i-am-not-with-carsten-lützen.md
OQribH86PNs	Generative Relationships" with Carsten Lützen	generative-relationships,star-star,liberating-structures,team-dynamics,facilitation,workshop-design,retrospective	Facilitation Method	videos/carsten-lutzen/CL_071_generative-relationships-with-carsten-lützen.md
IIcF1jqzQVE	Design Storyboard" with Carsten Lützen	design-storyboard,liberating-structures,workshop-design,facilitation,agenda-design,meeting-preparation,workshop-preparation	Facilitator Craft	videos/carsten-lutzen/CL_072_design-storyboard-with-carsten-lützen.md
rZGGVhT6vJk	Brainbox Episode 5 - Create a Metaphor for a Happy Team	visual-thinking,sketchnoting,metaphor,team,drawing-exercise,creativity,facilitation	Facilitator Craft	videos/carsten-lutzen/CL_073_brainbox-episode-5-create-a-metaphor-for-a-happy-team.md
dSoTQfHcHlU	Discovery & Action Dialogue (Liberating Structure)" with Carsten Lützen	discovery-and-action-dialogue,liberating-structures,problem-solving,solution-focused,facilitation,workshop-design,volunteers	Facilitation Method	videos/carsten-lutzen/CL_074_discovery-action-dialogue-liberating-structure-with-carsten-.md
jhvw-WoJLR0	6 Year YouTube Anniversary	agile-coaching,scrum-master,facilitation,graphical-facilitation,flip-chart,icf-certification,professional-development	Personal	videos/carsten-lutzen/CL_075_6-year-youtube-anniversary-with-carsten-lützen.md
tGxQeTdKY9s	\"Levels of Intervention\" with Carsten Lützen	levels-of-intervention,facilitation,coaching,listening,open-questions,closed-questions,agile-coaching	Facilitator Craft	videos/carsten-lutzen/CL_076_levels-of-intervention-with-carsten-lützen.md
2KDVzjN-89A	Limiting Beliefs" with Carsten Lützen	limiting-beliefs,positive-affirmations,self-awareness,team-dynamics,retrospective,agile-coaching,growth-mindset	Concept	videos/carsten-lutzen/CL_077_limiting-beliefs-with-carsten-lützen.md
IztR9Xghmso	Critical Thinking" with Carsten Lützen	critical-thinking,agile-coaching,facilitation,retrospective,decision-making,problem-solving,communication	Concept	videos/carsten-lutzen/CL_078_critical-thinking-with-carsten-lützen.md
WgLQqb7drx8	Simplicity in Drawing" with Carsten Lützen	visual-facilitation,graphic-facilitation,drawing,icons,simplicity,visual-thinking,facilitation-tools	Facilitator Craft	videos/carsten-lutzen/CL_079_simplicity-in-drawing-with-carsten-lützen.md
HK_BoALpTVU	\"Dot Voting\" with Carsten Lützen	dot-voting,voting,prioritization,retrospective,workshop-facilitation,heat-map,bandwagon-effect	Facilitation Method	videos/carsten-lutzen/CL_080_dot-voting-with-carsten-lützen.md
KJV_lGqsfkQ	\"My Default Retro\" with Carsten Lützen	retrospective,facilitation,scrum,agile-coaching,silent-drawing,achievement-posters,retro-wheel	Retro Format	videos/carsten-lutzen/CL_081_my-default-retro-with-carsten-lützen.md
73Jf4i8GO2Y	\"Pen Nibs\" with Carsten Lützen	pen-nibs,flip-chart,visual-facilitation,markers,writing,drawing,facilitation-tools	Facilitator Craft	videos/carsten-lutzen/CL_082_pen-nibs-with-carsten-lützen.md
0LJs4V-QPMw	Jokes in Facilitation" with Carsten Lützen	humor,dad-jokes,facilitation,rapport-building,psychological-safety,engagement,creativity	Facilitator Craft	videos/carsten-lutzen/CL_083_jokes-in-facilitation-with-carsten-lützen.md
yAej1hE4VkI	Self-Determination Theory" with Carsten Lützen	self-determination-theory,motivation,autonomy,competence,relatedness,intrinsic-motivation,team-dynamics	Concept	videos/carsten-lutzen/CL_084_self-determination-theory-with-carsten-lützen.md
bBBFLRYGUkA	Brain Box Episode 4	visual-thinking,sketchnoting,drawing,creativity,brainstorming,timed-exercise,visual-facilitation	Facilitator Craft	videos/carsten-lutzen/CL_085_brain-box-episode-4.md
pshoNfC_RGA	ICE Score" with Carsten Lützen	ice-score,prioritization,backlog-refinement,product-management,scoring,estimation,agile	Agile & Product	videos/carsten-lutzen/CL_086_ice-score-with-carsten-lützen.md
lvZg9r7qE9E	Minimum Viable Preparation" with Carsten Lützen	minimum-viable-preparation,facilitation,workshop-design,liberating-structures,co-facilitation,pivoting,string-of-exercises	Facilitator Craft	videos/carsten-lutzen/CL_087_minimum-viable-preparation-with-carsten-lützen.md
1WZoLwEnlhg	\"Psychological Safety\" with Carsten Lützen	psychological-safety,team-culture,agile-coaching,safety-model,constructive-dissent,consensus-culture,hostile-culture	Concept	videos/carsten-lutzen/CL_088_psychological-safety-with-carsten-lützen.md
zsyPZwqz1qQ	\"Cross Functional\" with Carsten Lützen	cross-functional,cross-functional-teams,t-shaped,team-structure,agile-teams,working-group,skill-diversity	Agile & Product	videos/carsten-lutzen/CL_089_cross-functional-with-carsten-lützen.md
IdDHqEpbRDY	Infectious Behaviours	infectious-behaviour,viral-change,storytelling,narrative,role-modelling,change-management,agile-coaching	Concept	videos/carsten-lutzen/CL_090_infectious-behaviours.md
BQhHCY9u9hI	Brain Box Episode 3: 7-Minute Graphic Illustration Challenge ft. Paddy Dhanda	visual-thinking,sketchnoting,graphic-facilitation,drawing-challenge,timed-exercise,visual-vocabulary,creative-warm-up	Facilitator Craft	videos/carsten-lutzen/CL_091_brain-box-episode-3-7-minute-graphic-illustration-challenge-.md
-V1xldH_Ql0	'"Positive Gossip" with Carsten Lützen'	positive-gossip,liberating-structures,impromptu-networking,what-so-what-now-what,triads,positive-feedback,psychological-safety	Feedback	videos/carsten-lutzen/CL_092_positive-gossip-with-carsten-lützen.md
j8yvcfM096Q	Caravan" by Carsten Lützen	caravan,liberating-structures,wise-crowds,shift-and-share,round-robin,problem-solving,peer-consultation	Facilitation Method	videos/carsten-lutzen/CL_093_caravan-by-carsten-lützen.md
uAVtF7qTytc	\"Three Word Stories\" with Carsten Lützen	three-word-stories,energizer,creativity-workout,icebreaker,creative-thinking,team-engagement,brainstorming	Energizer	videos/carsten-lutzen/CL_094_three-word-stories-with-carsten-lützen.md
rONNdxX18J0	Feedback-Back" with Carsten Lützen	feedback,appreciative-feedback,retrospective,team-activity,sticky-notes,icebreaker,positive-feedback	Feedback	videos/carsten-lutzen/CL_095_feedback-back-with-carsten-lützen.md
CFpI_KoF4Vk	ROTI" with Carsten Lützen	roti,return-on-time-invested,meeting-feedback,fist-of-five,quick-check,retrospective,facilitation	Facilitation Method	videos/carsten-lutzen/CL_096_roti-with-carsten-lützen.md
hTstdGSvaLM	\"People vs  Product\" with Carsten Lützen	psychological-safety,people-over-product,team-dynamics,retrospective,sustainable-pace,vulnerability,team-health	Concept	videos/carsten-lutzen/CL_097_people-vs-product-with-carsten-lützen.md
7Z-FGpV7rp8	\"Human Knot\" with Carsten Lützen	human-knot,energizer,icebreaker,empowerment,self-organization,decision-making,team-dynamics	Energizer	videos/carsten-lutzen/CL_098_human-knot-with-carsten-lützen.md
ZpRc1BoSKsk	\"Constraints\" with Carsten Lützen	constraints,enabling-constraints,governing-constraints,cynefin,dave-snowden,complex-systems,agile-coaching	Concept	videos/carsten-lutzen/CL_099_constraints-with-carsten-lützen.md
XYtPgC06wYM	Brain Box - Episode 2 with Special guest: Paddy Dhanda	visual-thinking,sketching,time-boxing,team-goals,drawing-prompts,visual-facilitation,brainstorming	Facilitator Craft	videos/carsten-lutzen/CL_100_brain-box-episode-2-with-special-guest-paddy-dhanda.md
P-Bjx5pdZ4g	Four Positions for a Host Leader" with Carsten Lützen	host-leadership,facilitation,leadership,liberating-structures,workshop-design,facilitator-roles,presence	Facilitator Craft	videos/carsten-lutzen/CL_101_four-positions-for-a-host-leader-with-carsten-lützen.md
